"","x"
"476","PRKCSH"
"477","PRMT5"
"478","PROS1"
"479","PSAT1"
"480","PSMA1"
"481","PSMA3"
"482","PSMA4"
"483","PSMA5"
"484","PSMA6"
"485","PSMA7"
"486","PSMB1"
"487","PSMB4"
"488","PSMB6"
"489","PSMD2"
"490","PTGFRN"
"491","PTMA"
"492","PTPN11"
"493","PTPN6"
"494","PTPRA"
"495","PTPRC"
"496","PTPRJ"
"497","PVR"
"498","PYCARD"
"499","RAB10"
"500","RAB14"
"501","RAB15"
"502","RAB21"
"503","RAB27A"
"504","RAB2A"
"505","RAB32"
"506","RAB33B"
"507","RAB34"
"508","RAB35"
"509","RAB5A"
"510","RAB6A"
"511","RAB7A"
"512","RAB8A"
"513","RAB8B"
"514","RAC1"
"515","RAC2"
"516","RACK1"
"517","RAD23A"
"518","RAD23B"
"519","RALA"
"520","RALB"
"521","RAN"
"522","RAP1A"
"523","RAP1B"
"524","RAP2A"
"525","RAP2B"
"526","RAP2C"
"527","RCSD1"
"528","RDX"
"529","RHEB"
"530","RHOA"
"531","RHOG"
"532","RHOT2"
"533","RNASE2"
"534","RNF130"
"535","RNPEP"
"536","ROR2"
"537","RP2"
"538","RPL11"
"539","RPL13"
"540","RPL14"
"541","RPL27"
"542","RPL4"
"543","RPL7"
"544","RPLP0"
"545","RPS16"
"546","RPS2"
"547","RPS20"
"548","RPS28"
"549","RPS3"
"550","RPS3A"
"551","RPS5"
"552","RPS6"
"553","RPS8"
"554","RPSA"
"555","RSU1"
"556","RTN3"
"557","RTN4"
"558","S100A11"
"559","S100A4"
"560","S100A6"
"561","S100A8"
"562","S100A9"
"563","SCAMP2"
"564","SCAMP4"
"565","SCARB1"
"566","SDCBP"
"567","SEPTIN11"
"568","SEPTIN2"
"569","SEPTIN7"
"570","SERBP1"
"571","SERINC1"
"572","SERINC5"
"573","SERPINA7"
"574","SERPINB1"
"575","SERPINC1"
"576","SERPIND1"
"577","SERPINF1"
"578","SERPING1"
"579","SET"
"580","SFN"
"581","SH3BGRL"
"582","SH3BP2"
"583","SH3KBP1"
"584","SH3RF3"
"585","SHC1"
"586","SLC16A3"
"587","SLC19A1"
"588","SLC1A3"
"589","SLC1A4"
"590","SLC1A5"
"591","SLC20A1"
"592","SLC26A6"
"593","SLC29A1"
"594","SLC2A1"
"595","SLC2A5"
"596","SLC2A9"
"597","SLC30A1"
"598","SLC31A1"
"599","SLC38A2"
"600","SLC38A5"
"601","SLC39A10"
"602","SLC3A2"
"603","SLC43A1"
"604","SLC43A3"
"605","SLC44A1"
"606","SLC4A7"
"607","SLC7A1"
"608","SLC7A2"
"609","SLC7A5"
"610","SLC9A3R1"
"611","SLC9A3R2"
"612","SNAP23"
"613","SNTB1"
"614","SOD1"
"615","SOS1"
"616","SPARCL1"
"617","SPN"
"618","SPRY2"
"619","SPTAN1"
"620","SPTBN1"
"621","SRGN"
"622","ST13"
"623","ST14"
"624","STAMBP"
"625","STIP1"
"626","STK10"
"627","STMN1"
"628","STOM"
"629","STUB1"
"630","STX4"
"631","STXBP2"
"632","STXBP3"
"633","SUB1"
"634","SVIP"
"635","SYK"
"636","SYNGR2"
"637","SYPL1"
"638","TAGLN2"
"639","TALDO1"
"640","TAOK1"
"641","TAOK3"
"642","TARS1"
"643","TBC1D10B"
"644","TBCA"
"645","TCP1"
"646","TFRC"
"647","TGFB1"
"648","TGFBR1"
"649","THBS1"
"650","THBS4"
"651","TIMP2"
"652","TKT"
"653","TLN1"
"654","TLR2"
"655","TM9SF2"
"656","TM9SF4"
"657","TMBIM1"
"658","TMC6"
"659","TMC8"
"660","TMSB4X"
"661","TNFAIP8"
"662","TNIK"
"663","TOLLIP"
"664","TPI1"
"665","TPM1"
"666","TPM3"
"667","TPM4"
"668","TPP2"
"669","TPT1"
"670","TSG101"
"671","TSPAN14"
"672","TSPAN4"
"673","TTC7A"
"674","TTYH2"
"675","TTYH3"
"676","TUBA4A"
"677","TUBB4B"
"678","TXN"
"679","TXNDC5"
"680","TYROBP"
"681","UBA1"
"682","UBASH3B"
"683","UBE2K"
"684","UBE2V2"
"685","UFC1"
"686","UGP2"
"687","UNC13D"
"688","USP14"
"689","UTRN"
"690","VAMP3"
"691","VAMP7"
"692","VAMP8"
"693","VAT1"
"694","VAV3"
"695","VCL"
"696","VCP"
"697","VIM"
"698","VPS37B"
"699","VPS37C"
"700","VPS4B"
"701","VTA1"
"702","WAS"
"703","WDR1"
"704","WIPF1"
"705","YARS1"
"706","YBX1"
"707","YIPF6"
"708","YKT6"
"709","YWHAB"
"710","YWHAG"
"711","YWHAH"
"712","YWHAQ"
"713","YWHAZ"
"714","ZDHHC5"
