"","x"
"1034","PSMA2"
"1035","PSMB7"
"1036","PSMD1"
"1037","LRRC7"
"1038","TRAPPC1"
"1039","RARRES2"
"1040","RNASE3"
"1041","ROCK1"
"1042","S100A12"
"1043","S100P"
"1044","ARHGAP9"
"1045","SLPI"
"1046","BPI"
"1047","SRP14"
"1048","TCN1"
"1049","DYNLT1"
"1050","TGFB2"
"1051","TGFB3"
"1052","LEFTY2"
"1053","TIMP1"
"1054","TIMP3"
"1055","DEFA1B"
"1056","VEGFA"
"1057","VEGFB"
"1058","VEGFC"
"1059","PCYOX1L"
"1060","C1orf35"
"1061","GSDMD"
"1062","DSN1"
"1063","PTGES2"
"1064","CEP290"
"1065","ACTN4"
"1066","EPX"
"1067","GHDC"
"1068","CRACR2A"
"1069","RNASET2"
"1070","CREG1"
"1071","NAPRT"
"1072","CDA"
"1073","TRAPPC3L"
"1074","WASHC1"
"1075","COG5"
"1076","TRAPPC2B"
"1077","EXOC5"
"1078","TMEM115"
"1079","TRAPPC6B"
"1080","TRAPPC5"
"1081","EXOC8"
"1082","SYNPO2"
"1083","RNF215"
"1084","COG2"
"1085","TRAPPC8"
"1086","EXOC6B"
"1087","EXOC7"
"1088","VPS39"
"1089","VPS8"
"1090","SH3BP1"
"1091","COG4"
"1092","TRAPPC3"
"1093","GOLGA3"
"1094","STXBP6"
"1095","HOOK2"
"1096","TRAPPC12"
"1097","HOOK1"
"1098","VPS54"
"1099","NBAS"
"1100","TRAPPC2L"
"1101","EXOC6"
"1102","DNAJC28"
"1103","VPS53"
"1104","EXOC1"
"1105","EXOC2"
"1106","COG6"
"1107","EXOC4"
"1108","RINT1"
"1109","TRAPPC11"
"1110","VPS52"
"1111","TRAPPC2"
"1112","AKTIP"
"1113","EXOC1L"
"1114","TRAPPC10"
"1115","TNFAIP2"
"1116","EIPR1"
"1117","VPS51"
"1118","TRAPPC6A"
"1119","COG3"
"1120","TRAPPC9"
"1121","COG8"
"1122","HOOK3"
"1123","EXOC3L2"
"1124","EXOC3L4"
"1125","ZW10"
"1126","COG7"
"1127","COG1"
"1128","TGFBRAP1"
"1129","TCP11X1"
"1130","FSTL3"
"1131","BAIAP2"
"1132","AKAP3"
"1133","POMT1"
"1134","FGL2"
"1135","SPINK5"
"1136","KLK11"
"1137","RCBTB2"
"1138","ABHD2"
"1139","SPACA9"
"1140","CAPN11"
"1141","CHGB"
"1142","KLK8"
"1143","CLK3"
"1144","CMA1"
"1145","ZPBP2"
"1146","ICA1L"
"1147","LYZL4"
"1148","IQCF1"
"1149","MROH2B"
"1150","PRSS37"
"1151","LRGUK"
"1152","PRSS58"
"1153","CRHBP"
"1154","BPIFA2"
"1155","CSNK2A2"
"1156","CTNNA1"
"1157","CTSB"
"1158","CTSL"
"1159","CTSV"
"1160","CXADR"
"1161","SCFD2"
"1162","CYLC1"
"1163","IQUB"
"1164","TBC1D21"
"1165","SPACA4"
"1166","DLD"
"1167","PRSS55"
"1168","ENKUR"
"1169","CEP131"
"1170","FSTL4"
"1171","ARC"
"1172","COMMD3"
"1173","NCS1"
"1174","TSSK2"
"1175","SPESP1"
"1176","FTH1"
"1177","TXNDC8"
"1178","GLIPR1L1"
"1179","KLK5"
"1180","BACE2"
"1181","METTL7A"
"1182","KLK13"
"1183","ABCA12"
"1184","SPAG8"
"1185","GHRHR"
"1186","DKKL1"
"1187","CRCP"
"1188","PCSK1N"
"1189","GOLGA1"
"1190","TSSK4"
"1191","KLK9"
"1192","RACGAP1"
"1193","SNX10"
"1194","HILPDA"
"1195","HSPA1A"
"1196","HSPA1B"
"1197","TREML1"
"1198","TCTEX1D4"
"1199","GNAT3"
"1200","CATSPER3"
"1201","KLK3"
"1202","IL1B"
"1203","ITGA1"
"1204","KCNJ11"
"1205","CATSPER4"
"1206","KIT"
"1207","KLK1"
"1208","KLK2"
"1209","KRTDAP"
"1210","PATE4"
"1211","LOXL1"
"1212","ASAH1"
"1213","MMP9"
"1214","KLK14"
"1215","KLK12"
"1216","NUDT1"
"1217","MYO5A"
"1218","NPY"
"1219","NPPC"
"1220","ACR"
"1221","OXT"
"1222","GAL"
"1223","PCSK5"
"1224","YPEL5"
"1225","PLA2G1B"
"1226","PLA2G2A"
"1227","PLAT"
"1228","LY6K"
"1229","TRIM36"
"1230","KLK15"
"1231","VEZT"
"1232","PRKACA"
"1233","ACRV1"
"1234","STK31"
"1235","PRSS3"
"1236","KLK7"
"1237","KLK6"
"1238","KLK10"
"1239","TMPRSS4"
"1240","KCMF1"
"1241","KNL1"
"1242","LYZL6"
"1243","KIAA1210"
"1244","REG1A"
"1245","SCNN1A"
"1246","DPEP3"
"1247","SCG5"
"1248","SH3GL3"
"1249","FABP9"
"1250","TEX22"
"1251","SKIL"
"1252","SMPD1"
"1253","SPINK2"
"1254","BRCA2"
"1255","TBXA2R"
"1256","TCP11"
"1257","TFF3"
"1258","TRH"
"1259","MORN2"
"1260","SCGB1A1"
"1261","SCG2"
"1262","PLEKHO2"
"1263","SLIRP"
"1264","TSSK1B"
"1265","PLA2G10"
"1266","PPFIA3"
"1267","CDK13"
"1268","ADAM15"
"1269","HPS4"
"1270","LACRT"
"1271","ATP6V1E2"
"1272","BMF"
"1273","SPAG9"
"1274","SLC6A5"
"1275","EBAG9"
"1276","CAPZA3"
"1277","NAPSA"
"1278","STXBP5L"
"1279","CARTPT"
"1280","KLK4"
"1281","DEFB1"
"1282","DEFB106A"
"1283","MIR31"
"1284","DEFB106B"
"1285","VPS37A"
"1286","VPS37D"
"1287","UBAP1L"
"1288","VPS28"
"1289","UBAP1"
"1290","CHMP4BP1"
"1291","CHMP2B"
"1292","CHMP1A"
"1293","CHMP7"
"1294","CHMP4C"
"1295","HDAC6"
"1296","CD300LG"
"1297","NEDD4L"
"1298","GFRA1"
"1299","GJA1"
"1300","PGA5"
"1301","NDFIP2"
"1302","STEAP3"
"1303","GIMAP5"
"1304","LAPTM4B"
"1305","PRKAR1B"
"1306","PGA3"
"1307","PGA4"
"1308","ZP2"
"1309","CST7"
"1310","LRAT"
"1311","CD79A"
"1312","SNF8"
"1313","VPS36"
"1314","STAM"
